10	242.65	167.18	1:46.18
11	234.18	181.35	1:47.59
12	244.47	188.07	1:52.37
2	256.53	49.13	2:19.00
3	238.33	54.65	1:17.13
4	393.12	46.96	1:53.15
5	375.05	72.68	1:54.88
6	329.77	108.27	1:52.87
7	299.48	143.61	1:54.43
8	270.07	177.59	1:55.52
9	272.90	176.78	1:56.09
