minas-funcs.c,target/minas,Jun 24 2020 16:41:53,1593027713,readModel,3.932000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 16:41:53,1593027727,readExamples,1.351051e+01,1,653457
minas.c,target/minas,Jun 24 2020 16:41:52,1593027790,main,6.295766e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 16:41:52,1593027811,main,2.140096e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 16:43:32,1593027813,readModel,3.968000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 16:43:32,1593027827,readExamples,1.372527e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:43:32,1593027827,sendModel,1.065000e-03,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 16:43:32,1593027851,sendExamples,2.429539e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:43:32,1593027851,MFOG_main,2.429546e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 16:41:52,1593027872,main,2.124949e+01,1,653457
minas-funcs.c,target/minas,Jun 24 2020 16:54:45,1593028485,readModel,3.921000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 16:54:45,1593028499,readExamples,1.365047e+01,1,653457
minas.c,target/minas,Jun 24 2020 16:54:45,1593028565,main,6.312764e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 16:54:44,1593028586,main,2.153040e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 16:56:27,1593028588,readModel,4.290000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 16:56:27,1593028602,readExamples,1.392826e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028602,sendModel,9.210000e-04,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028627,sendExamples,2.414305e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028627,MFOG_main,2.414322e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 16:54:44,1593028650,main,2.286885e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 16:56:27,1593028651,readModel,4.032000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 16:56:27,1593028665,readExamples,1.368676e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028665,sendModel,2.132100e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028691,sendExamples,2.570325e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 16:56:26,1593028691,MFOG_main,2.570408e+01,8,653457
minas-funcs.c,target/minas,Jun 24 2020 17:01:42,1593028902,readModel,3.908000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 17:01:42,1593028916,readExamples,1.374153e+01,1,653457
minas.c,target/minas,Jun 24 2020 17:01:41,1593028980,main,6.383786e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 17:01:41,1593029001,main,2.130313e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:03:22,1593029003,readModel,3.928000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:03:22,1593029017,readExamples,1.375741e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029017,sendModel,1.025000e-03,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029043,sendExamples,2.432923e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029043,MFOG_main,2.432930e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 17:01:41,1593029064,main,2.128180e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:03:22,1593029065,readModel,3.930000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:03:22,1593029079,readExamples,1.377938e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029079,sendModel,2.003200e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029106,sendExamples,2.593613e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:03:21,1593029106,MFOG_main,2.593626e+01,8,653457
evaluate.c,target/eval,Jun 24 2020 17:01:41,1593029128,main,2.161009e+01,1,653457
